timestamp,num1,operator,num2,timetaken,got_wrong,ranked,game_time,key_strokes
1696307865.2237508,672,/,7,3.014,False,False,120,"1.091,1.209,-1.728,2.371,-2.751,3.014"
1696307866.7444339,94,+,77,1.521,False,False,120,"0.943,1.446,1.52"
1696307867.5551958,13,-,3,0.811,False,False,120,"0.728,0.811"
1696307868.43524,50,+,40,0.88,False,False,120,"0.739,0.88"
1696307869.124235,2,*,10,0.689,False,False,120,"0.671,0.689"
1696307870.761545,6,*,48,1.637,False,False,120,"1.353,1.507,1.637"
1696307872.016072,27,/,9,1.254,False,False,120,"0.774,0.884,-1.049,-1.17,1.254"
1696307873.588445,14,+,99,1.572,False,False,120,"0.997,1.288,1.572"
1696307874.961764,366,/,6,1.373,False,False,120,"0.836,0.945,-1.294,1.373"
1696307876.5923991,216,/,12,1.631,False,False,120,"1.284,1.63"
1696307877.7783191,11,*,27,1.186,False,False,120,"0.848,1.001,1.186"
1696307878.9115782,360,/,10,1.133,False,False,120,"0.852,1.133"
1696307881.160877,7,*,26,2.249,False,False,120,"1.286,1.728,-1.997,2.158,2.249"
1696307882.1077602,47,-,25,0.947,False,False,120,"0.759,0.947"
1696307883.951883,69,-,63,1.844,True,False,120,"1.286,-1.53,1.844"
1696307885.2259881,9,+,32,1.274,False,False,120,"1.163,1.274"
1696307886.113922,54,/,2,0.888,False,False,120,"0.773,0.888"
1696307890.2007139,6,*,82,4.087,True,False,120,"0.769,-1.251,1.873,1.985,2.121,-2.73,-2.876,3.195,3.275,-3.627,-3.866,4.035,4.087"
1696307891.360408,10,*,62,1.16,False,False,120,"0.929,1.059,1.159"
1696307892.545708,2,-,19,1.185,False,False,120,"0.878,1.106,1.185"
1696307895.255307,3,*,82,2.71,False,False,120,"1.225,-1.587,-1.715,1.918,2.548,2.709"
1696307896.306389,459,/,9,1.051,False,False,120,"0.965,1.051"
1696307898.254337,60,-,22,1.948,True,False,120,"1.268,1.337,-1.673,-1.774,1.876,1.948"
1696307899.273273,740,/,10,1.019,False,False,120,"0.799,1.019"
1696307901.8271842,36,-,8,2.554,False,False,120,"0.016,-0.913,1.962,-2.228,2.514,2.554"
1696308080.457983,378,/,9,4.505,False,False,120,"4.353,4.505"
