timestamp,num1,operator,num2,timetaken,got_wrong,ranked,game_time,key_strokes, wrong_ans
1695619130.4154382,17,+,99,1.152,False,False,120
1695619132.718751,3,*,65,2.303,False,False,120
1695619134.041492,82,+,6,1.323,False,False,120
1695619134.900756,369,/,9,0.859,False,False,120
1695619136.2467752,5,*,23,1.346,False,False,120
1695619137.041256,4,*,100,0.794,False,False,120
1695619139.995666,168,/,6,2.954,False,False,120
1695619144.133027,48,+,26,4.137,True,False,120
1695619145.709096,6,*,29,1.576,False,False,120
1695619148.249383,6,*,87,2.54,False,False,120
1695619149.0570712,43,-,2,0.808,False,False,120
1695619151.44692,237,/,3,2.39,False,False,120
1695619152.4542432,81,+,92,1.007,False,False,120
1695619153.452064,5,*,62,0.998,False,False,120
1695619156.821461,679,/,7,3.369,False,False,120
1695619158.1435788,58,+,52,1.322,False,False,120
1695619159.837919,14,-,80,1.694,False,False,120
1695619162.3945658,69,+,78,2.557,True,False,120
1695619167.734533,9,*,37,5.34,True,False,120
1695619168.778906,11,*,18,1.044,False,False,120
1695619169.567147,729,/,9,0.788,False,False,120
1695619170.5771031,50,+,48,1.01,False,False,120
1695619171.822218,31,-,45,1.245,False,False,120
1695619173.5371351,8,*,34,1.715,False,False,120
1695619198.864398,345,/,5,2.028,False,False,120
1695619238.2678668,35,+,67,2.683,False,False,120
1695619239.442527,352,/,8,1.174,False,False,120
1695619240.340332,70,+,87,0.898,False,False,120
1695619242.1182652,63,-,28,1.778,True,False,120
1695619242.706938,36,/,4,0.589,False,False,120
1695619244.589907,69,-,74,1.883,False,False,120
1695619245.737352,360,/,10,1.147,False,False,120
1695619249.21293,5,-,83,3.475,True,False,120
1695619252.154123,693,/,7,2.941,False,False,120
1695619253.948682,12,+,95,1.794,True,False,120
1695619255.9498591,8,*,89,2.001,False,False,120
1695619256.676264,2,+,9,0.726,False,False,120
1695619260.965777,7,*,85,4.289,True,False,120
1695619262.22252,288,/,9,1.257,False,False,120
1695619265.7070122,38,+,62,3.484,True,False,120
1695619266.6215308,96,+,63,0.914,False,False,120
1695619267.7361028,8,-,80,1.114,False,False,120
1696308185.4936872,100,-,47,0.951,False,False,120,"0.492,-0.723,-0.818,0.911,0.951"
1696308186.14749,69,-,59,0.654,False,False,120,"0.479,0.653"
1696308187.4402182,87,-,98,1.293,False,False,120,"0.511,-0.675,-0.816,1.046,1.166,1.292"
1696308189.094315,1164,/,12,1.654,False,False,120,"0.498,-0.631,0.775,0.928,-1.143,1.391,-1.533,1.654"
1696308190.491093,65,+,55,1.397,True,False,120,"-0.201,-0.43,0.558,0.749,0.871,-1.136,-1.243,1.38,1.397"
1696308192.390795,329,/,7,1.9,False,False,120,"0.546,-0.694,-0.837,1.857,1.9"
1696308193.993835,408,/,6,1.603,False,False,120,"0.491,-0.739,-0.898,1.564,1.603"
1696308195.1721852,114,/,2,1.178,False,False,120,"0.58,-0.839,1.127,1.178"
1696308196.384817,19,-,80,1.213,False,False,120,"0.983,1.201,1.212"
1696308197.231678,15,+,2,0.847,False,False,120,"0.819,0.847"
1696308198.382365,84,+,82,1.151,False,False,120,"0.654,1.073,1.15"
1696308199.165419,10,*,32,0.783,False,False,120,"0.707,0.731,0.783"
1696308200.704082,83,+,53,1.539,False,False,120,"0.672,1.484,1.538"
1696308201.465153,3,*,4,0.761,False,False,120,"0.153,-0.213,0.741,0.761"
1696308203.05002,26,-,95,1.585,False,False,120,"0.951,1.553,1.585"
1696308203.8996391,3,*,9,0.85,False,False,120,"0.819,0.849"
1696308205.039917,48,+,34,1.14,False,False,120,"1.076,1.14"
1696308206.39637,65,-,85,1.356,False,False,120,"0.673,0.73,-0.931,-1.073,1.182,1.276,1.356"
1696308209.5232131,9,-,45,3.127,True,False,120,"0.676,1.334,-1.627,1.797,-2.034,2.173,2.253,2.256,-2.534,-2.649,2.705,-3.054,3.127"
1696308211.510494,696,/,12,1.987,False,False,120,"0.456,-0.601,-0.762,1.59,1.662,-1.899,1.987"
1696308215.912471,19,-,86,4.402,True,False,120,"0.429,-0.612,0.782,1.347,1.387,-2.599,2.615,-2.817,2.873,-3.249,-3.424,3.432,-4.128,4.346,4.402"
1696308217.736038,33,+,72,1.823,True,False,120,"0.476,1.205,1.229,-1.484,-1.632,1.755,1.823"
